category,subcategory,product_brand,product_name,ratings,reviews,price,Date
Luggage & bags,Monsoon,Frantic,"Velvet Pocket Kids Soft Cartoon Animal Travelling School Bag Soft Plush Backpacks Boys Girls Baby for 2 to 5 Years Baby/Boys/Girls Nursery, Preschool, Picnic",3.8,"3,185",229,28-07-2023
Accessories,Navigation Accessories,,"Verilux® AirTag Bracelet for Kids, 2 Packs Silicone Watch Bands with Upgraded Studs Anti-dropping Bracelet Wristband for Children, Airtag Watch Band Kids Compatible with AirTag",,,599,22-03-2023
Accessories,Mobile Accessories,,"Vero Forza Glide PRO (4 Piece) Thumb & Finger Sleeve for Mobile Game, Pubg,Cod,Freefire & Fortnite -Pack of 2 Pair- Black",3.8,"6,191",,15-10-2023
Sunglasses & frames,Sunglasses,VINCENT CHASE EYEWEAR,Vincent Chase By Lenskart | Brown Grey Full Rim Rectangular | HOLIDAY EDIT 2.0 | Branded Latest and Stylish Sunglasses | Polarized and 100% UV Protected | Men & Women | Large | VC S16337,4,1,854,28-11-2023
Sunglasses & frames,Sunglasses,VINCENT CHASE EYEWEAR,Vincent Chase By Lenskart | Full Rim Round Branded Latest and Stylish Sunglasses | Polarized and 100% UV Protected | For Men & Women | Small | VC S13137,3.9,48,799,10-04-2023
Sunglasses & frames,Sunglasses,VINCENT CHASE EYEWEAR,Vincent Chase By Lenskart | Full Rim Round Branded Latest and Stylish Sunglasses | Polarized and 100% UV Protected | Men & Women | Large | VC S13132,3.9,241,739,19-12-2023
Sunglasses & frames,VTO,VINCENT CHASE EYEWEAR,Vincent Chase By Lenskart | Gold Green Full Rim Pilot Branded Latest and Stylish Sunglasses | Polarized and 100% UV Protected | Men & Women | Medium | VC 5158/P,4.3,3,"1,055",08-02-2023
Sunglasses & frames,Sunglasses,VINCENT CHASE EYEWEAR,Vincent Chase By Lenskart | Gold Pink Full Rim Square | Fashion Essentials | Branded Latest and Stylish Sunglasses | 100% UV Protected | Men & Women | Medium | VC S15800,4.3,21,499,19-06-2023
Sunglasses & frames,Sunglasses,VINCENT CHASE EYEWEAR,Vincent Chase by Lenskart | Green Rectangle Stylish Sunglasses | Polarized & UV Protected | For Men & Women | Large | VC S13969,3.9,36,751,26-08-2023
Sunglasses & frames,VTO,VINCENT CHASE EYEWEAR,Vincent Chase By Lenskart | Stylish Sunglasses | UV Protected | Unisex | Large | VC S14088,3.8,40,839,14-08-2023
Sunglasses & frames,Sunglasses,VINCENT CHASE EYEWEAR,Vincent Chase By Lenskart | Stylish Sunglasses | UV Protected | Unisex | Large | VC S14088,3.8,40,839,03-02-2023
Sunglasses & frames,Frames,VINCENT CHASE EYEWEAR,Vincent Chase By Lenskart | Zero Power Bluecut & Antiglare Computer Eyeglasses For Eye Protection And Strain | Full Rim Hexagonal | Men & Women | Medium | VC E13787,4.2,112,875,23-08-2023
Watches,Value picks,Casio,Vintage Digital Grey Dial Unisex A-158WA-1Q ( D011 ),4.4,"38,775","1,356",05-09-2023
